0.01 s	0.044 N	
0.02 s	39.05 N	
0.02 s	39.226 N	
0.04 s	39.036 N	
0.1 s	39.156 N	
0.16 s	39.143 N	
0.22 s	39.19 N	
0.29 s	39.215 N	
0.35 s	39.14 N	
0.41 s	39.033 N	
0.48 s	39.186 N	
0.54 s	39.11 N	
0.61 s	39.199 N	
0.67 s	39.135 N	
0.73 s	39.088 N	
0.79 s	39.08 N	
0.86 s	39.161 N	
0.92 s	39.193 N	
0.99 s	39.107 N	
1.05 s	39.138 N	
1.11 s	39.098 N	
1.18 s	39.111 N	
1.24 s	39.237 N	
1.3 s	39.114 N	
1.37 s	39.143 N	
1.43 s	39.064 N	
1.49 s	39.098 N	
1.56 s	39.072 N	
1.62 s	39.141 N	
1.68 s	39.142 N	
1.75 s	39.087 N	
1.81 s	39.115 N	
1.87 s	39.151 N	
1.94 s	39.113 N	
2.0 s	39.152 N	
2.06 s	39.134 N	
2.13 s	39.134 N	
2.19 s	39.173 N	
2.25 s	39.109 N	
2.32 s	39.097 N	
2.38 s	39.102 N	
2.44 s	39.167 N	
2.51 s	39.134 N	
2.57 s	39.13 N	
2.63 s	39.106 N	
2.7 s	39.127 N	
2.76 s	39.172 N	
2.82 s	39.198 N	
2.89 s	39.123 N	
2.95 s	39.095 N	
3.01 s	39.142 N	
3.08 s	39.141 N	
3.14 s	39.13 N	
3.2 s	39.147 N	
3.27 s	39.114 N	
3.33 s	39.136 N	
3.39 s	39.126 N	
3.46 s	39.187 N	
3.52 s	39.127 N	
3.58 s	39.095 N	
3.65 s	39.115 N	
3.71 s	39.163 N	
3.77 s	39.096 N	
3.84 s	39.167 N	
3.9 s	39.112 N	
3.96 s	39.109 N	
4.03 s	39.136 N	
4.09 s	39.139 N	
4.15 s	39.115 N	
4.22 s	39.121 N	
4.28 s	39.113 N	
4.34 s	39.178 N	
4.41 s	39.167 N	
4.47 s	39.174 N	
4.53 s	39.119 N	
4.6 s	39.175 N	
4.66 s	39.147 N	
4.72 s	39.175 N	
4.79 s	39.111 N	
4.85 s	39.148 N	
4.92 s	39.147 N	
4.98 s	39.138 N	
5.04 s	39.191 N	
5.1 s	39.162 N	
5.17 s	39.13 N	
5.23 s	39.101 N	
5.29 s	39.178 N	
5.36 s	39.169 N	
5.42 s	39.16 N	
5.49 s	39.175 N	
5.55 s	39.149 N	
5.61 s	39.187 N	
5.67 s	39.176 N	
5.74 s	39.164 N	
5.8 s	39.121 N	
5.86 s	39.124 N	
5.93 s	39.167 N	
5.99 s	39.126 N	
6.06 s	39.206 N	
6.12 s	39.141 N	
6.18 s	39.123 N	
6.25 s	39.142 N	
6.31 s	39.195 N	
6.37 s	39.144 N	
6.44 s	39.134 N	
6.5 s	39.11 N	
6.56 s	39.176 N	
6.62 s	39.158 N	
6.69 s	39.163 N	
6.75 s	39.162 N	
6.82 s	39.161 N	
6.88 s	39.166 N	
6.94 s	39.166 N	
7.01 s	39.108 N	
7.07 s	39.17 N	
7.13 s	39.112 N	
7.2 s	39.12 N	
7.26 s	39.152 N	
7.32 s	39.15 N	
7.39 s	39.078 N	
7.45 s	39.133 N	
7.51 s	39.16 N	
7.58 s	39.194 N	
7.64 s	39.122 N	
7.7 s	39.129 N	
7.77 s	39.11 N	
7.83 s	39.137 N	
7.89 s	39.161 N	
7.96 s	39.148 N	
8.02 s	39.085 N	
8.08 s	39.126 N	
8.15 s	39.15 N	
8.21 s	39.128 N	
8.27 s	39.127 N	
8.34 s	39.153 N	
8.4 s	39.083 N	
8.46 s	39.159 N	
8.53 s	39.183 N	
8.59 s	39.143 N	
8.65 s	39.086 N	
8.72 s	39.128 N	
8.78 s	39.141 N	
8.84 s	39.19 N	
8.91 s	39.139 N	
8.97 s	39.153 N	
